guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
104,7/21/2023,1:00 PM,2:00 PM,Dr. Stone Q&A w/ J. Michael Tatum & Brandon McInnis,Panel 1,Voice Actor Guests,Various Guests,
105,7/21/2023,2:30 PM,3:30 PM,"Genshin Impact! Keith Silverstein, Suzie Yeung, Kayli Mills, Khoi Dao, & Laura Stahl ",Panel 1,Voice Actor Guests,Various Guests,
106,7/21/2023,4:00 PM,5:00 PM,The Many Voices of David Lodge Q&A,Panel 1,Voice Actor Guests,David Lodge,
107,7/21/2023,5:30 PM,6:30 PM,Opening Ceremonies,Panel 1,Main Event,Samurai Dan,
108,7/21/2023,7:00 PM,7:45 PM,Tekko Ribbon Game Panel,Panel 2,Main Event,Tekko Staff,
109,7/21/2023,7:45 PM,8:30 PM,Tekko Ribbon Game Panel Meetup,Panel 2,Main Event,Tekko Staff,
111,7/21/2023,9:30 PM,10:30 PM,"Samurai Dan Late Night Panel ""I'm an Idiot!""",Panel 1,Main Event,Samurai Dan,
112,7/21/2023,10:00 AM,11:00 AM,Traveling DM,Panel 2,Industry Guests,Charles Dunbar," Adapting Japanese Folklore for your D&D Table: It's harder than it looks. Creating a session, balancing encounters, choosing the right settings, and ultimately running the game requires a sense of finesse...and a lot of making square pegs fit in round holes. This is doubly hard when looking into adapting your passions into a session. Part Q&A, part advice garnered from 25 (!) years of play and game mastering, let's look at both the art and science of being a DM, and how one can use those skills to adapt what passions into projects. "
114,7/21/2023,11:30 AM,1:30 PM,Tekko Karaoke,Panel 2,Karaoke,Tekko Staff,
115,7/21/2023,8:30 PM,9:30 PM,Tekking101,Panel 2,Industry Guests,Tekking101," A Q&A panel with anime YouTuber, Tekking101. Discussing anime/manga and the YouTube industry."
116,7/21/2023,3:30 PM,4:30 PM,Caleb Hyles & Jonathan Young Q&A,Panel 2,Musical Guests,Caleb Hyles & Jonathan Young,
117,7/21/2023,7:00 PM,9:00 PM,Lip Sync for your Cosplay w/ Jez Roth,Panel 1,Industry Guests,Jez Roth,
118,7/21/2023,10:00 PM,11:00 AM,Freaking Filler w/ Nancy Kepner,Hall Stage,Industry Guests,Nancy Kepner,
119,7/21/2023,10:00 AM,11:00 AM,Tekko Today Live,Hall Stage,Main Event,Aaron Fristik ,
120,7/21/2023,12:00 PM,1:00 PM,Nancy Kepner Live!,Hall Stage,Industry Guests,Nancy Kepner,
121,7/21/2023,4:00 PM,5:00 PM,GPS Game,Hall Stage,Gameshow/Game,Unlockable Content,Think you’re good at Mario Kart? Good enough to play Blindfolded? Now you get to prove it. Prizes for the winning teams. 
122,7/21/2023,5:30 PM,6:30 PM,Tekko Tonight Live,Hall Stage,Main Event,Aaron Fristik ,
123,7/21/2023,8:30 PM,9:30 PM,"""They're a Ten But...""",Hall Stage,Gameshow/Game,Falling Star Pro,"Using the ""They are a ten but"" trend brings about a different way to rank your favorite anime characters. It's funny, thought provoking and discussion triggering. It will leave con goers with side stitches from their laughter, and ready to brawl for their maybe slightly toxic waifu's and husbandos."
124,7/21/2023,12:30 PM,2:00 PM,Anime Family Feud w/ Fuzion Games,Gameshows! (Panel 3),Gameshow/Game,Fuzion Games,"The popular television game show with an anime twist! Two teams compete to try and match surveys asked of fellow attendees at the convention! A team earns exp for getting the points for the round and the team to attain the most points after 5 rounds, moves on to Fast EXP to earn even more EXP to spend on amazing prizes!
"
125,7/21/2023,4:30 PM,6:00 PM,Pokemon Race to Victory Road w/ Fuzion games,Gameshows! (Panel 3),Gameshow/Game,Fuzion Games,Pokemon: Race to Victory Road w/ Fuzion Games
126,7/21/2023,6:30 PM,7:30 PM,Anime Name that Tune: Nightmare Difficulty,Gameshows! (Panel 3),Gameshow/Game,Emil,"Calling all name that tune experts! If you've completed every name that tune on YouTube with ease and you want to test the limits of your knowledge, this panel is made to push the limits of what you know and can recognize. "
127,7/21/2023,3:00 PM,4:00 PM,Classic Super Nintendo RPG Panel & Quiz,Gameshows! (Panel 3),Gameshow/Game,Jez Roth,
128,7/21/2023,8:00 PM,9:00 PM,The Anime Gameshow Gauntlet,Gameshows! (Panel 3),Gameshow/Game,ProfessorViral,"Face swaps of your favorite characters, ridiculous screenshots & dialogue, unthinkable premises; can you guess the right answer in these categories to win in a laugh-packed hour of anime insanity?"
129,7/21/2023,11:00 PM,12:00 AM,Pictionary Airnime,Gameshows! (Panel 3),Gameshow/Game,Unlockable Content,Contestants play Pictionary air drawing anime titles for the Audience to guess. Prizes to be won. 
130,7/21/2023,10:30 AM,11:30 AM,Twitch 101: Getting Started to Affiliate,Panel 4,Panel,Michelle Farina,"Talking about how to get started on Twitch (what you would need), to getting towards affiliate, hitting affiliate and where to go from there."
